consumo_kwh,uso_horario_pico,quantidade_equipamentos,tipo_imovel,horas_alto_consumo,categoria
182,False,8,Casa,10,Eficiente
515,False,7,Apartamento,10,Ineficiente
350,True,12,Casa,7,Ineficiente
186,True,11,Apartamento,10,Moderado
151,True,3,Casa,5,Eficiente
100,True,15,Casa,10,Moderado
694,False,5,Apartamento,6,Moderado
201,True,5,Casa,1,Eficiente
546,True,13,Casa,4,Ineficiente
294,True,8,Casa,4,Eficiente
410,False,10,Comércio,11,Moderado
538,False,5,Apartamento,8,Ineficiente
167,True,5,Casa,2,Eficiente
452,False,8,Casa,1,Moderado
179,True,10,Comércio,7,Moderado
210,True,8,Apartamento,6,Eficiente
388,False,15,Casa,5,Moderado
423,True,14,Apartamento,8,Ineficiente
571,False,16,Apartamento,11,Ineficiente
493,False,12,Apartamento,2,Ineficiente
465,False,5,Apartamento,2,Moderado
271,False,6,Casa,9,Eficiente
356,True,3,Casa,1,Moderado
240,False,15,Comércio,6,Eficiente
539,True,10,Apartamento,3,Ineficiente
393,False,6,Casa,5,Eficiente
101,False,8,Comércio,8,Eficiente
332,False,13,Comércio,7,Ineficiente
640,False,5,Comércio,4,Moderado
554,True,13,Comércio,8,Ineficiente
138,False,14,Comércio,11,Moderado
590,False,13,Casa,11,Ineficiente
555,False,8,Apartamento,10,Ineficiente
269,False,14,Apartamento,11,Moderado
642,True,13,Casa,2,Ineficiente
646,True,11,Casa,7,Ineficiente
323,False,11,Comércio,5,Moderado
584,False,12,Casa,11,Ineficiente
210,True,5,Comércio,6,Eficiente
564,False,5,Casa,3,Moderado
100,True,6,Casa,11,Moderado
246,False,14,Apartamento,10,Moderado
353,True,9,Casa,7,Moderado
467,True,5,Apartamento,7,Ineficiente
680,True,12,Apartamento,2,Ineficiente
395,True,10,Casa,1,Moderado
93,True,13,Casa,10,Moderado
321,True,10,Casa,2,Moderado
425,True,8,Casa,8,Moderado
644,False,6,Apartamento,11,Ineficiente
419,False,13,Casa,10,Moderado
171,True,14,Casa,3,Moderado
446,False,13,Apartamento,11,Moderado
534,True,7,Casa,4,Ineficiente
507,False,14,Casa,8,Ineficiente
588,False,4,Casa,3,Moderado
114,True,15,Comércio,6,Moderado
285,True,8,Comércio,2,Eficiente
160,True,5,Apartamento,3,Eficiente
641,True,17,Casa,1,Ineficiente
467,False,8,Casa,9,Ineficiente
81,True,14,Apartamento,4,Moderado
469,True,7,Apartamento,6,Ineficiente
645,True,16,Comércio,7,Ineficiente
185,True,4,Casa,2,Eficiente
556,True,17,Casa,8,Ineficiente
481,True,14,Apartamento,9,Ineficiente
635,False,15,Apartamento,10,Ineficiente
241,True,16,Apartamento,11,Moderado
281,True,7,Apartamento,2,Eficiente
349,False,7,Comércio,5,Eficiente
350,True,16,Apartamento,2,Moderado
535,False,11,Comércio,11,Ineficiente
541,False,13,Comércio,5,Ineficiente
331,True,10,Apartamento,7,Moderado
375,True,14,Casa,6,Moderado
417,True,14,Casa,4,Moderado
132,True,9,Apartamento,2,Eficiente
296,True,17,Apartamento,7,Moderado
267,True,17,Comércio,10,Ineficiente
459,True,14,Casa,9,Ineficiente
572,True,15,Casa,1,Ineficiente
120,False,17,Apartamento,3,Eficiente
236,False,16,Casa,7,Moderado
94,True,5,Casa,9,Moderado
144,True,12,Casa,5,Moderado
600,False,6,Apartamento,7,Ineficiente
423,False,8,Casa,10,Moderado
208,False,5,Comércio,7,Eficiente
551,True,13,Casa,4,Ineficiente
142,False,11,Comércio,5,Eficiente
218,True,10,Apartamento,2,Eficiente
578,True,8,Casa,8,Ineficiente
672,True,6,Casa,1,Ineficiente
471,True,9,Casa,2,Ineficiente
498,True,15,Apartamento,3,Ineficiente
368,True,17,Casa,7,Ineficiente
458,False,13,Casa,6,Ineficiente
569,False,5,Apartamento,7,Ineficiente
310,True,12,Casa,11,Ineficiente
120,True,17,Casa,5,Moderado
107,True,10,Apartamento,4,Eficiente
214,False,3,Comércio,7,Eficiente
280,True,5,Casa,3,Eficiente
112,False,13,Casa,10,Moderado
127,True,7,Comércio,7,Moderado
